attack,base_happiness,capture_rate,defense,height_m,hp,name,pokedex_number,speed,type1,weight_kg,is_legendary
155,70,45,109,6.5,95,Gyarados,130,81,water,235.0,False
85,70,45,80,2.5,130,Lapras,131,60,water,220.0,False
48,70,35,48,0.3,48,Ditto,132,48,normal,4.0,False
55,70,45,50,0.3,55,Eevee,133,55,normal,6.5,False
65,70,45,60,1.0,130,Vaporeon,134,65,water,29.0,False
65,70,45,60,0.8,65,Jolteon,135,130,electric,24.5,False
130,70,45,60,0.9,65,Flareon,136,65,fire,25.0,False
60,70,45,70,0.8,65,Porygon,137,40,normal,36.5,False
40,70,45,100,0.4,35,Omanyte,138,35,rock,7.5,False
60,70,45,125,1.0,70,Omastar,139,55,rock,35.0,False
80,70,45,90,0.5,30,Kabuto,140,55,rock,11.5,False
115,70,45,105,1.3,60,Kabutops,141,80,rock,40.5,False
135,70,45,85,1.8,80,Aerodactyl,142,150,rock,59.0,False
110,70,25,65,2.1,160,Snorlax,143,30,normal,460.0,False
85,35,3,100,1.7,90,Articuno,144,85,ice,55.4,True
90,35,3,85,1.6,90,Zapdos,145,100,electric,52.6,True
100,35,3,90,2.0,90,Moltres,146,90,fire,60.0,True
64,35,45,45,1.8,41,Dratini,147,50,dragon,3.3,False
84,35,45,65,4.0,61,Dragonair,148,70,dragon,16.5,False
134,35,45,95,2.2,91,Dragonite,149,80,dragon,210.0,False
150,0,3,70,2.0,106,Mewtwo,150,140,psychic,122.0,True
100,100,45,100,0.4,100,Mew,151,100,psychic,4.0,True
49,70,45,65,0.9,45,Chikorita,152,45,grass,6.4,False
62,70,45,80,1.2,60,Bayleef,153,60,grass,15.8,False
82,70,45,100,1.8,80,Meganium,154,80,grass,100.5,False
52,70,45,43,0.5,39,Cyndaquil,155,65,fire,7.9,False
64,70,45,58,0.9,58,Quilava,156,80,fire,19.0,False
84,70,45,78,1.7,78,Typhlosion,157,100,fire,79.5,False
65,70,45,64,0.6,50,Totodile,158,43,water,9.5,False
80,70,45,80,1.1,65,Croconaw,159,58,water,25.0,False
105,70,45,100,2.3,85,Feraligatr,160,78,water,88.8,False
46,70,255,34,0.8,35,Sentret,161,20,normal,6.0,False
76,70,90,64,1.8,85,Furret,162,90,normal,32.5,False
30,70,255,30,0.7,60,Hoothoot,163,50,normal,21.2,False
50,70,90,50,1.6,100,Noctowl,164,70,normal,40.8,False
20,70,255,30,1.0,40,Ledyba,165,55,bug,10.8,False
35,70,90,50,1.4,55,Ledian,166,85,bug,35.6,False
60,70,255,40,0.5,40,Spinarak,167,30,bug,8.5,False
90,70,90,70,1.1,70,Ariados,168,40,bug,33.5,False
90,70,90,80,1.8,85,Crobat,169,130,poison,75.0,False
38,70,190,38,0.5,75,Chinchou,170,67,water,12.0,False
58,70,75,58,1.2,125,Lanturn,171,67,water,22.5,False
40,70,190,15,0.3,20,Pichu,172,60,electric,2.0,False
25,140,150,28,0.3,50,Cleffa,173,15,fairy,3.0,False
30,70,170,15,0.3,90,Igglybuff,174,15,normal,1.0,False
20,70,190,65,0.3,35,Togepi,175,20,fairy,1.5,False
40,70,75,85,0.6,55,Togetic,176,40,fairy,3.2,False
50,70,190,45,0.2,40,Natu,177,70,psychic,2.0,False
75,70,75,70,1.5,65,Xatu,178,95,psychic,15.0,False
40,70,235,40,0.6,55,Mareep,179,35,electric,7.8,False
55,70,120,55,0.8,70,Flaaffy,180,45,electric,13.3,False
95,70,45,105,1.4,90,Ampharos,181,45,electric,61.5,False
80,70,45,95,0.4,75,Bellossom,182,50,grass,5.8,False
20,70,190,50,0.4,70,Marill,183,40,water,8.5,False
50,70,75,80,0.8,100,Azumarill,184,50,water,28.5,False
100,70,65,115,1.2,70,Sudowoodo,185,30,rock,38.0,False
75,70,45,75,1.1,90,Politoed,186,70,water,33.9,False
35,70,255,40,0.4,35,Hoppip,187,50,grass,0.5,False
45,70,120,50,0.6,55,Skiploom,188,80,grass,1.0,False
55,70,45,70,0.8,75,Jumpluff,189,110,grass,3.0,False
70,70,45,55,0.8,55,Aipom,190,85,normal,11.5,False
30,70,235,30,0.3,30,Sunkern,191,30,grass,1.8,False
75,70,120,55,0.8,75,Sunflora,192,30,grass,8.5,False
65,70,75,45,1.2,65,Yanma,193,95,bug,38.0,False
45,70,255,45,0.4,55,Wooper,194,15,water,8.5,False
85,70,90,85,1.4,95,Quagsire,195,35,water,75.0,False
65,70,45,60,0.9,65,Espeon,196,110,psychic,26.5,False
65,35,45,110,1.0,95,Umbreon,197,65,dark,27.0,False
85,35,30,42,0.5,60,Murkrow,198,91,dark,2.1,False
75,70,70,80,2.0,95,Slowking,199,30,water,79.5,False
60,35,45,60,0.7,60,Misdreavus,200,85,ghost,1.0,False
72,70,225,48,0.5,48,Unown,201,48,psychic,5.0,False
33,70,45,58,1.3,190,Wobbuffet,202,33,psychic,28.5,False
80,70,60,65,1.5,70,Girafarig,203,85,normal,41.5,False
65,70,190,90,0.6,50,Pineco,204,15,bug,7.2,False
90,70,75,140,1.2,75,Forretress,205,40,bug,125.8,False
70,70,190,70,1.5,100,Dunsparce,206,45,normal,14.0,False
75,70,60,105,1.1,65,Gligar,207,85,ground,64.8,False
125,70,25,230,9.2,75,Steelix,208,30,steel,400.0,False
80,70,190,50,0.6,60,Snubbull,209,30,fairy,7.8,False
120,70,75,75,1.4,90,Granbull,210,45,fairy,48.7,False
95,70,45,85,0.5,65,Qwilfish,211,85,water,3.9,False
150,70,25,140,1.8,70,Scizor,212,75,bug,118.0,False
10,70,190,230,0.6,20,Shuckle,213,5,bug,20.5,False
185,70,45,115,1.5,80,Heracross,214,75,bug,54.0,False
95,35,60,55,0.9,55,Sneasel,215,115,dark,28.0,False
80,70,120,50,0.6,60,Teddiursa,216,40,normal,8.8,False
130,70,60,75,1.8,90,Ursaring,217,55,normal,125.8,False
40,70,190,40,0.7,40,Slugma,218,20,fire,35.0,False
50,70,75,120,0.8,60,Magcargo,219,30,fire,55.0,False
50,70,225,40,0.4,50,Swinub,220,50,ice,6.5,False
100,70,75,80,1.1,100,Piloswine,221,50,ice,55.8,False
55,70,60,95,0.6,65,Corsola,222,35,water,5.0,False
65,70,190,35,0.6,35,Remoraid,223,65,water,12.0,False
105,70,75,75,0.9,75,Octillery,224,45,water,28.5,False
55,70,45,45,0.9,45,Delibird,225,75,ice,16.0,False
40,70,25,70,2.1,85,Mantine,226,70,water,220.0,False
80,70,25,140,1.7,65,Skarmory,227,70,steel,50.5,False
60,35,120,30,0.6,45,Houndour,228,65,dark,10.8,False
90,35,45,90,1.4,75,Houndoom,229,115,dark,35.0,False
95,70,45,95,1.8,75,Kingdra,230,85,water,152.0,False
60,70,120,60,0.5,90,Phanpy,231,40,ground,33.5,False
120,70,60,120,1.1,90,Donphan,232,50,ground,120.0,False
80,70,45,90,0.6,85,Porygon2,233,60,normal,32.5,False
95,70,45,62,1.4,73,Stantler,234,85,normal,71.2,False
20,70,45,35,1.2,55,Smeargle,235,75,normal,58.0,False
35,70,75,35,0.7,35,Tyrogue,236,35,fighting,21.0,False
95,70,45,95,1.4,50,Hitmontop,237,70,fighting,48.0,False
30,70,45,15,0.4,45,Smoochum,238,65,ice,6.0,False
63,70,45,37,0.6,45,Elekid,239,95,electric,23.5,False
75,70,45,37,0.7,45,Magby,240,83,fire,21.4,False
80,70,45,105,1.2,95,Miltank,241,100,normal,75.5,False
10,140,30,10,1.5,255,Blissey,242,55,normal,46.8,False
85,35,3,75,1.9,90,Raikou,243,115,electric,178.0,True
115,35,3,85,2.1,115,Entei,244,100,fire,198.0,True
75,35,3,115,2.0,100,Suicune,245,85,water,187.0,True
64,35,45,50,0.6,50,Larvitar,246,41,rock,72.0,False
84,35,45,70,1.2,70,Pupitar,247,51,rock,152.0,False
164,35,45,150,2.0,100,Tyranitar,248,71,rock,202.0,False
90,0,3,130,5.2,106,Lugia,249,110,psychic,216.0,True
130,0,3,90,3.8,106,Ho-Oh,250,90,fire,199.0,True
100,100,45,100,0.6,100,Celebi,251,100,psychic,5.0,True
45,70,45,35,0.5,40,Treecko,252,70,grass,5.0,False
65,70,45,45,0.9,50,Grovyle,253,95,grass,21.6,False
110,70,45,75,1.7,70,Sceptile,254,145,grass,52.2,False
60,70,45,40,0.4,45,Torchic,255,45,fire,2.5,False
85,70,45,60,0.9,60,Combusken,256,55,fire,19.5,False
160,70,45,80,1.9,80,Blaziken,257,100,fire,52.0,False
70,70,45,50,0.4,50,Mudkip,258,40,water,7.6,False
85,70,45,70,0.7,70,Marshtomp,259,50,water,28.0,False
150,70,45,110,1.5,100,Swampert,260,70,water,81.9,False
55,70,255,35,0.5,35,Poochyena,261,35,dark,13.6,False
90,70,127,70,1.0,70,Mightyena,262,70,dark,37.0,False
30,70,255,41,0.4,38,Zigzagoon,263,60,normal,17.5,False
70,70,90,61,0.5,78,Linoone,264,100,normal,32.5,False
45,70,255,35,0.3,45,Wurmple,265,20,bug,3.6,False
35,70,120,55,0.6,50,Silcoon,266,15,bug,10.0,False
70,70,45,50,1.0,60,Beautifly,267,65,bug,28.4,False
35,70,120,55,0.7,50,Cascoon,268,15,bug,11.5,False
50,70,45,70,1.2,60,Dustox,269,65,bug,31.6,False
30,70,255,30,0.5,40,Lotad,270,30,water,2.6,False
50,70,120,50,1.2,60,Lombre,271,50,water,32.5,False
70,70,45,70,1.5,80,Ludicolo,272,70,water,55.0,False
40,70,255,50,0.5,40,Seedot,273,30,grass,4.0,False
70,70,120,40,1.0,70,Nuzleaf,274,60,grass,28.0,False
100,70,45,60,1.3,90,Shiftry,275,80,grass,59.6,False
55,70,200,30,0.3,40,Taillow,276,85,normal,2.3,False
85,70,45,60,0.7,60,Swellow,277,125,normal,19.8,False
30,70,190,30,0.6,40,Wingull,278,85,water,9.5,False
50,70,45,100,1.2,60,Pelipper,279,65,water,28.0,False
25,35,235,25,0.4,28,Ralts,280,40,psychic,6.6,False
35,35,120,35,0.8,38,Kirlia,281,50,psychic,20.2,False
85,35,45,65,1.6,68,Gardevoir,282,100,psychic,48.4,False
30,70,200,32,0.5,40,Surskit,283,65,bug,1.7,False
60,70,75,62,0.8,70,Masquerain,284,80,bug,3.6,False
40,70,255,60,0.4,60,Shroomish,285,35,grass,4.5,False
130,70,90,80,1.2,60,Breloom,286,70,grass,39.2,False
60,70,255,60,0.8,60,Slakoth,287,30,normal,24.0,False
80,70,120,80,1.4,80,Vigoroth,288,90,normal,46.5,False
160,70,45,100,2.0,150,Slaking,289,100,normal,130.5,False
45,70,255,90,0.5,31,Nincada,290,40,bug,5.5,False
90,70,120,45,0.8,61,Ninjask,291,160,bug,12.0,False
90,70,45,45,0.8,1,Shedinja,292,40,bug,1.2,False
51,70,190,23,0.6,64,Whismur,293,28,normal,16.3,False
71,70,120,43,1.0,84,Loudred,294,48,normal,40.5,False
91,70,45,63,1.5,104,Exploud,295,68,normal,84.0,False
60,70,180,30,1.0,72,Makuhita,296,25,fighting,86.4,False
120,70,200,60,2.3,144,Hariyama,297,50,fighting,253.8,False
20,70,150,40,0.2,50,Azurill,298,20,normal,2.0,False
45,70,255,135,1.0,30,Nosepass,299,30,rock,97.0,False
45,70,255,45,0.6,50,Skitty,300,50,normal,11.0,False
65,70,60,65,1.1,70,Delcatty,301,90,normal,32.6,False
85,35,45,125,0.5,50,Sableye,302,20,dark,11.0,False
105,70,45,125,0.6,50,Mawile,303,50,steel,11.5,False
70,35,180,100,0.4,50,Aron,304,30,steel,60.0,False
90,35,90,140,0.9,60,Lairon,305,40,steel,120.0,False
140,35,45,230,2.1,70,Aggron,306,50,steel,360.0,False
40,70,180,55,0.6,30,Meditite,307,60,fighting,11.2,False
100,70,90,85,1.3,60,Medicham,308,100,fighting,31.5,False
45,70,120,40,0.6,40,Electrike,309,65,electric,15.2,False
75,70,45,80,1.5,70,Manectric,310,135,electric,40.2,False
50,70,200,40,0.4,60,Plusle,311,95,electric,4.2,False
40,70,200,50,0.4,60,Minun,312,95,electric,4.2,False
73,70,150,75,0.7,65,Volbeat,313,85,bug,17.7,False
47,70,150,75,0.6,65,Illumise,314,85,bug,17.7,False
60,70,150,45,0.3,50,Roselia,315,65,grass,2.0,False
43,70,225,53,0.4,70,Gulpin,316,40,poison,10.3,False
73,70,75,83,1.7,100,Swalot,317,55,poison,80.0,False
90,35,225,20,0.8,45,Carvanha,318,65,water,20.8,False
140,35,60,70,1.8,70,Sharpedo,319,105,water,88.8,False
70,70,125,35,2.0,130,Wailmer,320,60,water,130.0,False
90,70,60,45,14.5,170,Wailord,321,60,water,398.0,False
60,70,255,40,0.7,60,Numel,322,35,fire,24.0,False
120,70,150,100,1.9,70,Camerupt,323,20,fire,220.0,False
85,70,90,140,0.5,70,Torkoal,324,20,fire,80.4,False
25,70,255,35,0.7,60,Spoink,325,60,psychic,30.6,False
45,70,60,65,0.9,80,Grumpig,326,80,psychic,71.5,False
60,70,255,60,1.1,60,Spinda,327,60,normal,5.0,False
100,70,255,45,0.7,45,Trapinch,328,10,ground,15.0,False
70,70,120,50,1.1,50,Vibrava,329,70,ground,15.3,False
100,70,45,80,2.0,80,Flygon,330,100,ground,82.0,False
85,35,190,40,0.4,50,Cacnea,331,35,grass,51.3,False
115,35,60,60,1.3,70,Cacturne,332,55,grass,77.4,False
40,70,255,60,0.4,45,Swablu,333,50,normal,1.2,False
110,70,45,110,1.1,75,Altaria,334,80,dragon,20.6,False
115,70,90,60,1.3,73,Zangoose,335,90,normal,40.3,False
100,70,90,60,2.7,73,Seviper,336,65,poison,52.5,False
55,70,45,65,1.0,90,Lunatone,337,70,rock,168.0,False
95,70,45,85,1.2,90,Solrock,338,70,rock,154.0,False
48,70,190,43,0.4,50,Barboach,339,60,water,1.9,False
78,70,75,73,0.9,110,Whiscash,340,60,water,23.6,False
80,70,205,65,0.6,43,Corphish,341,35,water,11.5,False
120,70,155,85,1.1,63,Crawdaunt,342,55,water,32.8,False
40,70,255,55,0.5,40,Baltoy,343,55,ground,21.5,False
70,70,90,105,1.5,60,Claydol,344,75,ground,108.0,False
41,70,45,77,1.0,66,Lileep,345,23,rock,23.8,False
81,70,45,97,1.5,86,Cradily,346,43,rock,60.4,False
95,70,45,50,0.7,45,Anorith,347,75,rock,12.5,False
125,70,45,100,1.5,75,Armaldo,348,45,rock,68.2,False
15,70,255,20,0.6,20,Feebas,349,80,water,7.4,False
60,70,60,79,6.2,95,Milotic,350,81,water,162.0,False
70,70,45,70,0.3,70,Castform,351,70,normal,0.8,False
90,70,200,70,1.0,60,Kecleon,352,40,normal,22.0,False
75,35,225,35,0.6,44,Shuppet,353,45,ghost,2.3,False
165,35,45,75,1.1,64,Banette,354,75,ghost,12.5,False
40,35,190,90,0.8,20,Duskull,355,25,ghost,15.0,False
70,35,90,130,1.6,40,Dusclops,356,25,ghost,30.6,False
68,70,200,83,2.0,99,Tropius,357,51,grass,100.0,False
50,70,45,80,0.6,75,Chimecho,358,65,psychic,1.0,False
150,35,30,60,1.2,65,Absol,359,115,dark,47.0,False
23,70,125,48,0.6,95,Wynaut,360,23,psychic,14.0,False
50,70,190,50,0.7,50,Snorunt,361,50,ice,16.8,False
120,70,75,80,1.5,80,Glalie,362,100,ice,256.5,False
40,70,255,50,0.8,70,Spheal,363,25,ice,39.5,False
60,70,120,70,1.1,90,Sealeo,364,45,ice,87.6,False
80,70,45,90,1.4,110,Walrein,365,65,ice,150.6,False
64,70,255,85,0.4,35,Clamperl,366,32,water,52.5,False
104,70,60,105,1.7,55,Huntail,367,52,water,27.0,False
84,70,60,105,1.8,55,Gorebyss,368,52,water,22.6,False
90,70,25,130,1.0,100,Relicanth,369,55,water,23.4,False
30,70,225,55,0.6,43,Luvdisc,370,97,water,8.7,False
75,35,45,60,0.6,45,Bagon,371,50,dragon,42.1,False
95,35,45,100,1.1,65,Shelgon,372,50,dragon,110.5,False
145,35,45,130,1.5,95,Salamence,373,120,dragon,102.6,False
55,35,3,80,0.6,40,Beldum,374,30,steel,95.2,False
75,35,3,100,1.2,60,Metang,375,50,steel,202.5,False
145,35,3,150,1.6,80,Metagross,376,110,steel,550.0,False
100,35,3,200,1.7,80,Regirock,377,50,rock,230.0,True
50,35,3,100,1.8,80,Regice,378,50,ice,175.0,True
75,35,3,150,1.9,80,Registeel,379,50,steel,205.0,True
100,90,3,120,1.4,80,Latias,380,110,dragon,40.0,True
130,90,3,100,2.0,80,Latios,381,110,dragon,60.0,True
150,0,3,90,4.5,100,Kyogre,382,90,water,352.0,True
180,0,3,160,3.5,100,Groudon,383,90,ground,950.0,True
180,0,45,100,7.0,105,Rayquaza,384,115,dragon,206.5,True
100,100,3,100,0.3,100,Jirachi,385,100,steel,1.1,True
95,0,3,90,1.7,50,Deoxys,386,180,psychic,60.8,True
68,70,45,64,0.4,55,Turtwig,387,31,grass,10.2,False
89,70,45,85,1.1,75,Grotle,388,36,grass,97.0,False
109,70,45,105,2.2,95,Torterra,389,56,grass,310.0,False
58,70,45,44,0.5,44,Chimchar,390,61,fire,6.2,False
78,70,45,52,0.9,64,Monferno,391,81,fire,22.0,False
104,70,45,71,1.2,76,Infernape,392,108,fire,55.0,False
51,70,45,53,0.4,53,Piplup,393,40,water,5.2,False
66,70,45,68,0.8,64,Prinplup,394,50,water,23.0,False
86,70,45,88,1.7,84,Empoleon,395,60,water,84.5,False
55,70,255,30,0.3,40,Starly,396,60,normal,2.0,False
75,70,120,50,0.6,55,Staravia,397,80,normal,15.5,False
120,70,45,70,1.2,85,Staraptor,398,100,normal,24.9,False
45,70,255,40,0.5,59,Bidoof,399,31,normal,20.0,False
85,70,127,60,1.0,79,Bibarel,400,71,normal,31.5,False
25,70,255,41,0.3,37,Kricketot,401,25,bug,2.2,False
85,70,45,51,1.0,77,Kricketune,402,65,bug,25.5,False
65,70,235,34,0.5,45,Shinx,403,45,electric,9.5,False
85,100,120,49,0.9,60,Luxio,404,60,electric,30.5,False
120,70,45,79,1.4,80,Luxray,405,70,electric,42.0,False
30,70,255,35,0.2,40,Budew,406,55,grass,1.2,False
70,70,75,65,0.9,60,Roserade,407,90,grass,14.5,False
125,70,45,40,0.9,67,Cranidos,408,58,rock,31.5,False
165,70,45,60,1.6,97,Rampardos,409,58,rock,102.5,False
42,70,45,118,0.5,30,Shieldon,410,30,rock,57.0,False
52,70,45,168,1.3,60,Bastiodon,411,30,rock,149.5,False
29,70,120,45,0.2,40,Burmy,412,36,bug,3.4,False
69,70,45,95,0.5,60,Wormadam,413,36,bug,6.5,False
94,70,45,50,0.9,70,Mothim,414,66,bug,23.3,False
30,70,120,42,0.3,30,Combee,415,70,bug,5.5,False
80,70,45,102,1.2,70,Vespiquen,416,40,bug,38.5,False
45,100,200,70,0.4,60,Pachirisu,417,95,electric,3.9,False
65,70,190,35,0.7,55,Buizel,418,85,water,29.5,False
105,70,75,55,1.1,85,Floatzel,419,115,water,33.5,False
35,70,190,45,0.4,45,Cherubi,420,35,grass,3.3,False
60,70,75,70,0.5,70,Cherrim,421,85,grass,9.3,False
48,70,190,48,0.3,76,Shellos,422,34,water,6.3,False
83,70,75,68,0.9,111,Gastrodon,423,39,water,29.9,False
100,100,45,66,1.2,75,Ambipom,424,115,normal,20.3,False
50,70,125,34,0.4,90,Drifloon,425,70,ghost,1.2,False
80,70,60,44,1.2,150,Drifblim,426,80,ghost,15.0,False
66,0,190,44,0.4,55,Buneary,427,85,normal,5.5,False
136,140,60,94,1.2,65,Lopunny,428,135,normal,33.3,False
60,35,45,60,0.9,60,Mismagius,429,105,ghost,4.4,False
125,35,30,52,0.9,100,Honchkrow,430,71,dark,27.3,False
55,70,190,42,0.5,49,Glameow,431,85,normal,3.9,False
82,70,75,64,1.0,71,Purugly,432,112,normal,43.8,False
30,70,120,50,0.2,45,Chingling,433,45,psychic,0.6,False
63,70,225,47,0.4,63,Stunky,434,74,poison,19.2,False
93,70,60,67,1.0,103,Skuntank,435,84,poison,38.0,False
24,70,255,86,0.5,57,Bronzor,436,23,steel,60.5,False
89,70,90,116,1.3,67,Bronzong,437,33,steel,187.0,False
80,70,255,95,0.5,50,Bonsly,438,10,rock,15.0,False
25,70,145,45,0.6,20,Mime Jr.,439,60,psychic,13.0,False
5,140,130,5,0.6,100,Happiny,440,30,normal,24.4,False
65,35,30,45,0.5,76,Chatot,441,91,normal,1.9,False
92,70,100,108,1.0,50,Spiritomb,442,35,ghost,108.0,False
70,70,45,45,0.7,58,Gible,443,42,dragon,20.5,False
